Date,Close,High,Low,Open,Volume,log_return,realized_vol,log_rv
2018-02-02,2762.1298828125,2808.919921875,2759.969970703125,2808.919921875,4340220000,-0.021436680516698812,0.11673923026095444,-2.1478126328469176
2018-02-05,2648.93994140625,2763.389892578125,2638.169921875,2741.06005859375,5310840000,-0.041842540938381426,0.18482304720036052,-1.6883564132630684
2018-02-06,2695.139892578125,2701.0400390625,2593.070068359375,2614.780029296875,5917350000,0.017290573348937088,0.19443080710588068,-1.637678926744405
2018-02-07,2681.659912109375,2727.669921875,2681.330078125,2690.949951171875,4646300000,-0.005014138223752627,0.19312429264704686,-1.6444212940058478
2018-02-08,2581.0,2685.27001953125,2580.56005859375,2685.010009765625,5333840000,-0.0382590522458017,0.2301573598678472,-1.4689920306603566
2018-02-09,2619.550048828125,2638.669921875,2532.68994140625,2601.780029296875,5690110000,0.014825645199524345,0.23751485853375326,-1.437525095216995
2018-02-12,2656.0,2672.610107421875,2622.449951171875,2636.75,4069220000,0.013818665678186272,0.24365458774183907,-1.4120036806400966
2018-02-13,2662.93994140625,2668.840087890625,2637.080078125,2646.27001953125,3503540000,0.0026095219802775584,0.242250624270908,-1.4177824512448893
2018-02-14,2698.6298828125,2702.10009765625,2648.8701171875,2651.2099609375,4011940000,0.013313439808897013,0.24601329861451518,-1.402369685102333
2018-02-15,2731.199951171875,2731.510009765625,2689.820068359375,2713.4599609375,3696140000,0.01199686177677526,0.25001944446550745,-1.3862165862824019
2018-02-16,2732.219970703125,2754.419921875,2725.110107421875,2727.139892578125,3646920000,0.0003733996499216942,0.24749194822984405,-1.3963772299072528
2018-02-20,2716.260009765625,2737.60009765625,2706.760009765625,2722.989990234375,3646920000,-0.005858517106837343,0.24800266439069754,-1.3943157893639888
2018-02-21,2701.330078125,2747.75,2701.2900390625,2720.530029296875,3789040000,-0.005511664483310908,0.24752145433384584,-1.3962580165530933
